nombre,instagram,seguidores,material,detalle,categoria,imagen
Karun ,https://www.instagram.com/karunworld/,"20,7k","Plástico, madera y textiles",A DIFFERENT POINT OF VIEW. Inspiring change through high quality eyewear made with recycled materials & love for nature. ,Reciclaje,https://i.ytimg.com/vi/n5wDaSXnm7M/maxresdefault.jpg
Green Glass,https://www.instagram.com/greenglasschile/,"75,7k",Vidrio,"Los vasos más sexys del planeta, Demostrando que el vidrio no es basura, junto a Recicladores de base. Hasta que cada vaso del mundo sea de botella!",Reutilización,https://static1.squarespace.com/static/57251236044262921a1b7f18/t/5a01ccb88165f572b1dd34a6/1510067410314/Green_Glass_Haciendola-19.jpg
Triciclos,https://www.instagram.com/triciclos_b/,1.36,Desechos,"Nuestro objetivo es buscar soluciones para reducir la generación de residuos, haciendo una gestión más sustentable del ciclo de vida útil de los productos.",Reciclaje,http://www.triciclos.cl/wp-content/uploads/punto-limpio_11499.jpg
Namuntu Lombri Club ,https://www.instagram.com/namuntu.lombriclub/,3.159,Desechos orgánicos,Club de compostaje y lombricultura,Reciclaje,github
y.a.n.g.,https://www.instagram.com/y.a.n.g._/,8.529,Textiles,Urban wear - Upcycling,Reutilización,http://www.modacl.com/wp-content/uploads/2017/10/MG_6572.jpg
Joyaplastica,https://www.instagram.com/joyaplastica/,"12,2k",Plástico,"Joyas de autor sustentables, hechas en Chile 🇨🇱♻️ // Usamos bolsas plásticas reutilizadas. Todo hecho a mano con herrajes de plata y enchape en oro.",Reciclaje,https://s3.amazonaws.com/s3-prod-paula/wp-content/uploads/2017/05/16151122/joya-pl%C3%A1stica.jpg
Muka ,https://www.instagram.com/mueblesmuka/,6980,Caucho,Muebles y maceteros hechos a partir de neumáticos en desuso,Reciclaje,https://junkitechture.files.wordpress.com/2017/08/muka-banner-7.jpg?w=620
Rockndress,https://www.instagram.com/rockndress/,6.07,Textiles,"Moda sustentable. Arrienda y pon tus vestidos en arriendo. Showrooms martes, miercoles y viernes",Reutilización,github
Don Pallets,https://www.instagram.com/donpallets/,9.962,Madera,"Salvamos Pallets y su Madera: Implementación,Decoración, Stands, Talleres, Sostenible.",Reutilización,https://www.donpallets.cl/images/demo/gallery/7.jpg
